location_id,location_name,location_wikidata,latitude,longitude
LOC-001,Rotterdam,Q34370,51.92,4.48
LOC-002,Hague,Q36600,52.08,4.31
LOC-003,Nimeguen,Q47887,51.8475,5.8625
LOC-004,Cologne,Q365,50.94222222,6.957777778
LOC-005,Nuremberg,Q2090,49.45388889,11.0775
LOC-006,Ratisbon,Q2978,49.01666667,12.08333333
LOC-007,Vienna,Q1741,48.20833333,16.3725
LOC-008,Prague,Q1085,50.0875,14.42138889
LOC-009,Leipzig,Q2079,51.34,12.375
LOC-010,Braunschweig,Q2773,52.266667,10.516667
LOC-011,Hanover,Q1715,52.37444444,9.738611111
LOC-012,Blankenburg am Harz,Q525960,51.795278,10.962222
LOC-013,Petrovaradin,Q19429,45.25,19.86666667
LOC-014,Belgrade,Q3711,44.81777778,20.45694444
LOC-015,Edirne,Q43387,41.67304,26.57361
LOC-016,Istanbul,Q16869,41.0125,28.98
LOC-017,Belgrade Village,Q2734907,41.1947,28.9514
LOC-018,Pera,Q217411,41.031944,28.976111
LOC-019,Tunis,Q3572,36.80083333,10.18
LOC-020,Genoa,Q1449,44.40718611,8.933983333
LOC-021,Turin,Q495,45.07916667,7.676111111
LOC-022,Lyons,Q456,45.75888889,4.841388889
LOC-023,Paris,Q90,48.85666667,2.352222222
LOC-024,Dover,Q179224,51.1275,1.312222222
