word,language,count,pos
the,en,3444,DET
of,en,2570,ADP
in,en,1074,ADP
and,en,1639,CCONJ
to,en,1673,PART
a,en,1399,DET
on,en,274,ADP
for,en,362,ADP
as,en,463,SCONJ
by,en,330,ADP
that,en,935,SCONJ
it,en,569,PRON
with,en,649,ADP
from,en,217,ADP
at,en,365,ADP
he,en,234,PRON
this,en,471,DET
be,en,2515,AUX
i,en,1859,PRON
his,en,209,PRON
not,en,561,PART
or,en,205,CCONJ
talk,en,13,VERB
which,en,402,PRON
also,en,21,ADV
but,en,482,CCONJ
have,en,858,AUX
one,en,213,NUM
new,en,29,ADJ
first,en,69,ADJ
page,en,1,NOUN
no,en,180,DET
you,en,524,PRON
they,en,804,PRON
article,en,5,NOUN
t,en,5,PROPN
who,en,143,PRON
all,en,400,DET
their,en,467,PRON
there,en,181,PRON
its,en,36,PRON
people,en,2,VERB
may,en,87,AUX
after,en,85,ADP
other,en,129,ADJ
should,en,69,AUX
two,en,113,NUM
score,en,1,NOUN
her,en,343,PRON
can,en,165,AUX
would,en,151,AUX
more,en,141,ADV
if,en,121,SCONJ
she,en,180,PRON
about,en,48,ADP
when,en,111,ADV
time,en,83,NOUN
such,en,93,ADJ
do,en,187,AUX
only,en,70,ADV
some,en,154,DET
up,en,61,ADP
see,en,261,VERB
into,en,90,ADP
school,en,1,NOUN
so,en,318,ADV
world,en,61,NOUN
during,en,8,ADP
out,en,62,ADP
state,en,15,NOUN
year,en,47,NOUN
most,en,119,ADV
city,en,34,NOUN
over,en,62,ADP
then,en,26,ADV
than,en,173,ADP
where,en,133,ADV
will,en,137,AUX
de,en,4,PROPN
what,en,106,PRON
any,en,146,DET
these,en,1,PRON
january,en,1,PROPN
march,en,7,NOUN
august,en,1,PROPN
being,en,3,NOUN
many,en,88,ADJ
south,en,2,NOUN
september,en,2,PROPN
like,en,42,ADP
between,en,28,ADP
three,en,45,NUM
well,en,111,ADV
use,en,53,NOUN
war,en,10,NOUN
under,en,40,ADP
april,en,1,PROPN
we,en,233,PRON
december,en,1,PROPN
while,en,25,SCONJ
c,en,1,PROPN
part,en,89,NOUN
list,en,4,NOUN
please,en,18,VERB
my,en,435,PRON
february,en,1,PROPN
second,en,14,ADJ
name,en,28,NOUN
history,en,7,NOUN
series,en,1,NOUN
just,en,21,ADV
north,en,2,NOUN
work,en,14,NOUN
before,en,53,ADP
since,en,54,SCONJ
season,en,5,NOUN
both,en,26,CCONJ
high,en,27,ADJ
st,en,22,PROPN
through,en,34,ADP
now,en,91,ADV
because,en,10,SCONJ
music,en,15,NOUN
however,en,49,ADV
league,en,6,NOUN
debate,en,1,NOUN
title,en,10,NOUN
john,en,4,PROPN
same,en,95,ADJ
could,en,85,AUX
english,en,36,ADJ
number,en,42,NOUN
against,en,12,ADP
family,en,26,NOUN
b,en,3,PROPN
life,en,38,NOUN
british,en,1,ADJ
game,en,2,NOUN
above,en,24,ADP
your,en,135,PRON
early,en,3,ADV
house,en,100,NOUN
company,en,21,NOUN
general,en,19,ADJ
left,en,3,VERB
very,en,457,ADV
here,en,163,ADV
don,en,1,PROPN
living,en,1,NOUN
day,en,95,NOUN
several,en,41,ADJ
place,en,86,NOUN
party,en,9,NOUN
college,en,1,NOUN
result,en,1,NOUN
keep,en,32,VERB
four,en,34,NUM
even,en,26,ADV
government,en,12,NOUN
how,en,41,ADV
each,en,19,DET
found,en,7,VERB
style,en,5,NOUN
long,en,59,ADJ
country,en,67,NOUN
back,en,17,ADV
way,en,38,NOUN
end,en,29,NOUN
make,en,205,VERB
public,en,20,ADJ
another,en,49,DET
support,en,7,VERB
former,en,4,ADJ
those,en,1,DET
church,en,35,NOUN
east,en,1,ADJ
line,en,15,VERB
good,en,129,ADJ
much,en,161,ADV
image,en,14,NOUN
show,en,4,VERB
still,en,27,ADV
think,en,100,VERB
below,en,5,ADP
town,en,93,NOUN
last,en,40,ADJ
right,en,7,ADJ
song,en,2,NOUN
non,en,1,X
single,en,2,ADJ
home,en,4,ADV
women,en,2,NOUN
seed,en,1,NOUN
member,en,2,NOUN
book,en,6,NOUN
order,en,28,NOUN
old,en,43,ADJ
information,en,5,NOUN
set,en,47,VERB
own,en,96,ADJ
point,en,25,NOUN
river,en,19,NOUN
top,en,12,NOUN
language,en,19,NOUN
french,en,28,ADJ
off,en,17,ADP
note,en,4,NOUN
original,en,2,NOUN
age,en,14,NOUN
service,en,9,NOUN
air,en,34,NOUN
german,en,13,PROPN
law,en,17,NOUN
military,en,1,ADJ
great,en,188,ADJ
ii,en,4,NUM
within,en,3,ADP
park,en,4,NOUN
r,en,5,PROPN
case,en,6,NOUN
london,en,25,PROPN
small,en,24,ADJ
third,en,6,ADJ
different,en,35,ADJ
due,en,4,ADJ
get,en,28,VERB
village,en,18,NOUN
art,en,10,NOUN
l,en,3,PROPN
community,en,1,NOUN
again,en,23,ADV
army,en,8,NOUN
without,en,92,ADP
death,en,16,NOUN
men,en,1,NOUN
large,en,99,ADJ
white,en,37,ADJ
along,en,2,ADP
five,en,32,NUM
road,en,11,NOUN
free,en,9,ADJ
england,en,27,PROPN
include,en,2,VERB
down,en,30,ADP
source,en,2,NOUN
man,en,87,NOUN
black,en,22,ADJ
though,en,100,SCONJ
report,en,5,NOUN
building,en,15,NOUN
la,en,4,PROPN
take,en,111,VERB
king,en,38,NOUN
ship,en,9,NOUN
cup,en,1,NOUN
often,en,29,ADV
few,en,39,ADJ
side,en,45,NOUN
power,en,20,NOUN
know,en,120,VERB
water,en,24,NOUN
field,en,10,NOUN
near,en,28,ADP
need,en,9,VERB
go,en,91,VERB
island,en,9,NOUN
form,en,16,VERB
find,en,86,VERB
play,en,27,VERB
project,en,3,NOUN
o,en,2,NOUN
every,en,86,DET
example,en,5,NOUN
live,en,32,VERB
union,en,1,NOUN
india,en,1,PROPN
next,en,25,ADJ
court,en,66,NOUN
region,en,1,NOUN
h,en,1,PROPN
little,en,121,ADJ
short,en,19,ADJ
v,en,1,NOUN
son,en,8,NOUN
france,en,8,PROPN
royal,en,7,ADJ
street,en,21,NOUN
full,en,44,ADJ
red,en,7,ADJ
too,en,33,ADV
w,en,19,PROPN
help,en,13,VERB
among,en,13,ADP
james,en,1,PROPN
open,en,15,ADJ
force,en,29,VERB
head,en,65,NOUN
father,en,9,NOUN
track,en,1,NOUN
never,en,89,ADV
level,en,1,NOUN
late,en,17,ADJ
summer,en,13,NOUN
society,en,2,NOUN
office,en,1,NOUN
round,en,48,ADP
story,en,21,NOUN
various,en,5,ADJ
land,en,10,NOUN
business,en,11,NOUN
reason,en,25,NOUN
america,en,1,PROPN
million,en,1,NUM
european,en,4,ADJ
term,en,4,NOUN
six,en,15,NUM
post,en,10,NOUN
why,en,7,ADV
making,en,1,NOUN
subject,en,24,NOUN
young,en,45,ADJ
science,en,2,NOUN
related,en,1,ADJ
rock,en,7,NOUN
become,en,7,VERB
news,en,9,NOUN
present,en,54,ADJ
indian,en,5,ADJ
kingdom,en,8,NOUN
important,en,5,ADJ
love,en,20,NOUN
run,en,19,VERB
press,en,5,VERB
rather,en,28,ADV
k,en,1,NOUN
act,en,6,VERB
editor,en,2,NOUN
once,en,22,ADV
germany,en,13,PROPN
might,en,22,AUX
say,en,98,VERB
enough,en,50,ADV
lead,en,26,VERB
either,en,25,CCONJ
common,en,35,ADJ
person,en,101,NOUN
battle,en,4,NOUN
went,en,3,VERB
already,en,28,ADV
hall,en,3,NOUN
