word,language,count,pos
page,en,1,NOUN
article,en,5,NOUN
score,en,1,NOUN
time,en,83,NOUN
school,en,1,NOUN
world,en,61,NOUN
state,en,15,NOUN
year,en,47,NOUN
city,en,34,NOUN
march,en,7,NOUN
being,en,3,NOUN
south,en,2,NOUN
use,en,53,NOUN
war,en,10,NOUN
part,en,89,NOUN
list,en,4,NOUN
name,en,28,NOUN
history,en,7,NOUN
series,en,1,NOUN
north,en,2,NOUN
work,en,14,NOUN
season,en,5,NOUN
music,en,15,NOUN
league,en,6,NOUN
debate,en,1,NOUN
title,en,10,NOUN
number,en,42,NOUN
family,en,26,NOUN
life,en,38,NOUN
game,en,2,NOUN
house,en,100,NOUN
company,en,21,NOUN
living,en,1,NOUN
day,en,95,NOUN
place,en,86,NOUN
party,en,9,NOUN
college,en,1,NOUN
result,en,1,NOUN
government,en,12,NOUN
style,en,5,NOUN
country,en,67,NOUN
way,en,38,NOUN
end,en,29,NOUN
church,en,35,NOUN
image,en,14,NOUN
town,en,93,NOUN
song,en,2,NOUN
women,en,2,NOUN
seed,en,1,NOUN
member,en,2,NOUN
book,en,6,NOUN
order,en,28,NOUN
information,en,5,NOUN
point,en,25,NOUN
river,en,19,NOUN
top,en,12,NOUN
language,en,19,NOUN
note,en,4,NOUN
original,en,2,NOUN
age,en,14,NOUN
service,en,9,NOUN
air,en,34,NOUN
law,en,17,NOUN
park,en,4,NOUN
case,en,6,NOUN
village,en,18,NOUN
art,en,10,NOUN
community,en,1,NOUN
army,en,8,NOUN
death,en,16,NOUN
men,en,1,NOUN
road,en,11,NOUN
source,en,2,NOUN
man,en,87,NOUN
report,en,5,NOUN
building,en,15,NOUN
king,en,38,NOUN
ship,en,9,NOUN
cup,en,1,NOUN
side,en,45,NOUN
power,en,20,NOUN
water,en,24,NOUN
field,en,10,NOUN
island,en,9,NOUN
project,en,3,NOUN
o,en,2,NOUN
example,en,5,NOUN
union,en,1,NOUN
court,en,66,NOUN
region,en,1,NOUN
v,en,1,NOUN
son,en,8,NOUN
street,en,21,NOUN
head,en,65,NOUN
father,en,9,NOUN
track,en,1,NOUN
level,en,1,NOUN
summer,en,13,NOUN
society,en,2,NOUN
office,en,1,NOUN
story,en,21,NOUN
land,en,10,NOUN
business,en,11,NOUN
reason,en,25,NOUN
term,en,4,NOUN
post,en,10,NOUN
making,en,1,NOUN
subject,en,24,NOUN
science,en,2,NOUN
rock,en,7,NOUN
news,en,9,NOUN
kingdom,en,8,NOUN
love,en,20,NOUN
k,en,1,NOUN
editor,en,2,NOUN
person,en,101,NOUN
battle,en,4,NOUN
hall,en,3,NOUN
date,en,3,NOUN
change,en,11,NOUN
board,en,4,NOUN
japan,en,9,NOUN
half,en,34,NOUN
event,en,1,NOUN
action,en,1,NOUN
space,en,2,NOUN
star,en,2,NOUN
china,en,12,NOUN
minister,en,6,NOUN
lake,en,1,NOUN
author,en,14,NOUN
character,en,4,NOUN
light,en,18,NOUN
release,en,1,NOUN
republic,en,1,NOUN
thanks,en,5,NOUN
race,en,5,NOUN
body,en,41,NOUN
question,en,7,NOUN
week,en,12,NOUN
match,en,2,NOUN
tour,en,4,NOUN
sea,en,20,NOUN
cross,en,6,NOUN
health,en,11,NOUN
wife,en,23,NOUN
night,en,43,NOUN
middle,en,5,NOUN
stage,en,5,NOUN
addition,en,4,NOUN
saint,en,10,NOUN
self,en,5,NOUN
mother,en,17,NOUN
fire,en,11,NOUN
gold,en,35,NOUN
course,en,2,NOUN
size,en,9,NOUN
means,en,1,NOUN
artist,en,1,NOUN
word,en,35,NOUN
blue,en,2,NOUN
value,en,11,NOUN
view,en,12,NOUN
quality,en,24,NOUN
front,en,2,NOUN
model,en,1,NOUN
material,en,1,NOUN
coach,en,14,NOUN
mark,en,10,NOUN
outside,en,4,NOUN
brother,en,9,NOUN
writer,en,8,NOUN
writing,en,8,NOUN
interest,en,6,NOUN
medal,en,6,NOUN
search,en,3,NOUN
bay,en,2,NOUN
reference,en,1,NOUN
library,en,1,NOUN
management,en,1,NOUN
guitar,en,2,NOUN
hill,en,11,NOUN
daughter,en,12,NOUN
reading,en,1,NOUN
actor,en,4,NOUN
rule,en,1,NOUN
thought,en,7,NOUN
hand,en,53,NOUN
capital,en,3,NOUN
valley,en,3,NOUN
bank,en,8,NOUN
ground,en,16,NOUN
leader,en,2,NOUN
bridge,en,11,NOUN
industry,en,3,NOUN
collection,en,6,NOUN
request,en,1,NOUN
professor,en,1,NOUN
campaign,en,5,NOUN
theatre,en,2,NOUN
empire,en,18,NOUN
length,en,12,NOUN
market,en,4,NOUN
novel,en,1,NOUN
sound,en,9,NOUN
child,en,22,NOUN
idea,en,16,NOUN
channel,en,1,NOUN
parliament,en,1,NOUN
foundation,en,7,NOUN
ice,en,1,NOUN
governor,en,12,NOUN
account,en,40,NOUN
taking,en,1,NOUN
mountain,en,15,NOUN
thing,en,71,NOUN
square,en,8,NOUN
woman,en,81,NOUN
officer,en,13,NOUN
money,en,23,NOUN
trade,en,10,NOUN
degree,en,10,NOUN
birth,en,5,NOUN
sun,en,9,NOUN
earth,en,11,NOUN
journal,en,1,NOUN
beginning,en,2,NOUN
bit,en,5,NOUN
structure,en,3,NOUN
lord,en,6,NOUN
assembly,en,12,NOUN
queen,en,11,NOUN
security,en,2,NOUN
operation,en,3,NOUN
prince,en,21,NOUN
staff,en,1,NOUN
nature,en,24,NOUN
captain,en,7,NOUN
