word,language,count,pos,tsne_x,tsne_y
page,en,1,NOUN,19.80338,35.21735
article,en,5,NOUN,19.813107,35.089092
score,en,1,NOUN,16.57434,9.985837
time,en,83,NOUN,12.51958,15.415623
school,en,1,NOUN,7.541932,12.303482
world,en,61,NOUN,-3.510623,11.901149
state,en,15,NOUN,-1.203295,-20.809946
year,en,47,NOUN,12.603582,8.973017
city,en,34,NOUN,27.634916,-37.605885
march,en,7,NOUN,-15.305973,40.80207
being,en,3,NOUN,15.532651,19.94779
south,en,2,NOUN,24.47686,-37.91412
use,en,53,NOUN,19.702793,42.04718
war,en,10,NOUN,-4.042663,12.567149
part,en,89,NOUN,14.204813,15.091821
list,en,4,NOUN,-2.7170248,42.78284
name,en,28,NOUN,-8.303423,43.352463
history,en,7,NOUN,10.5073595,0.2436109
series,en,1,NOUN,30.282726,-3.5799656
north,en,2,NOUN,24.461313,-37.90311
work,en,14,NOUN,22.610834,18.153902
season,en,5,NOUN,8.881497,6.296841
music,en,15,NOUN,33.136765,-6.982573
league,en,6,NOUN,8.75086,6.3594832
debate,en,1,NOUN,18.68663,36.120213
title,en,10,NOUN,-6.978528,43.600906
number,en,42,NOUN,15.76364,24.903673
family,en,26,NOUN,-0.2633937,-24.750938
life,en,38,NOUN,21.282373,14.358633
game,en,2,NOUN,9.763952,8.466956
house,en,100,NOUN,34.54479,-31.039845
company,en,21,NOUN,6.515743,21.529903
living,en,1,NOUN,17.13781,-3.1530342
day,en,95,NOUN,13.869547,8.099273
place,en,86,NOUN,13.212187,17.950583
party,en,9,NOUN,0.9880021,-4.572868
college,en,1,NOUN,7.392913,12.335775
result,en,1,NOUN,17.2821,35.063843
government,en,12,NOUN,1.4125359,-6.581099
style,en,5,NOUN,-4.8920603,-39.326458
country,en,67,NOUN,0.0028048963,-16.092854
way,en,38,NOUN,20.509619,22.921972
end,en,29,NOUN,12.2784195,13.202443
church,en,35,NOUN,26.634724,-22.01133
image,en,14,NOUN,-0.3769893,36.943203
town,en,93,NOUN,27.843134,-37.646152
song,en,2,NOUN,33.46453,-5.7233
women,en,2,NOUN,18.807285,-1.2446979
seed,en,1,NOUN,53.42671,-22.183702
member,en,2,NOUN,0.9603274,-10.432836
book,en,6,NOUN,27.060545,-10.80876
order,en,28,NOUN,-7.5103354,6.4832115
information,en,5,NOUN,14.649511,34.010338
point,en,25,NOUN,-2.4484763,34.931023
river,en,19,NOUN,20.58741,-36.16008
top,en,12,NOUN,18.45345,11.326262
language,en,19,NOUN,-3.7655685,-29.868618
note,en,4,NOUN,18.534897,36.377953
original,en,2,NOUN,30.324736,7.1492586
age,en,14,NOUN,16.60797,-2.1915867
service,en,9,NOUN,-0.38651124,14.996791
air,en,34,NOUN,3.5213256,-23.05341
